iso3,year_id,indicator_code,value,obs_status,loaded_at
BIH,2018,NY.GDP.PCAP.CD,6047.847072,,2026-04-20 18:33:21
BIH,2017,NY.GDP.PCAP.CD,5345.019788,,2026-04-20 18:33:21
BIH,2016,NY.GDP.PCAP.CD,4928.56659,,2026-04-20 18:33:21
BIH,2015,NY.GDP.PCAP.CD,4662.258692,,2026-04-20 18:33:21
BIH,2014,NY.GDP.PCAP.CD,5206.065735,,2026-04-20 18:33:21
BWA,2023,NY.GDP.PCAP.CD,7826.353765,,2026-04-20 18:33:21
BWA,2022,NY.GDP.PCAP.CD,8328.709057,,2026-04-20 18:33:21
BWA,2021,NY.GDP.PCAP.CD,7807.887946,,2026-04-20 18:33:21
BWA,2020,NY.GDP.PCAP.CD,6323.297497,,2026-04-20 18:33:21
BWA,2019,NY.GDP.PCAP.CD,7172.089565,,2026-04-20 18:33:21
BWA,2018,NY.GDP.PCAP.CD,7407.959401,,2026-04-20 18:33:21
BWA,2017,NY.GDP.PCAP.CD,7104.964011,,2026-04-20 18:33:21
BWA,2016,NY.GDP.PCAP.CD,6749.059943,,2026-04-20 18:33:21
BWA,2015,NY.GDP.PCAP.CD,6141.203947,,2026-04-20 18:33:21
BWA,2014,NY.GDP.PCAP.CD,7122.364234,,2026-04-20 18:33:21
BRA,2023,NY.GDP.PCAP.CD,10377.589772,,2026-04-20 18:33:21
BRA,2022,NY.GDP.PCAP.CD,9281.332821,,2026-04-20 18:33:21
BRA,2021,NY.GDP.PCAP.CD,7972.536961,,2026-04-20 18:33:21
BRA,2020,NY.GDP.PCAP.CD,7074.194075,,2026-04-20 18:33:21
BRA,2019,NY.GDP.PCAP.CD,9029.833044,,2026-04-20 18:33:21
BRA,2018,NY.GDP.PCAP.CD,9300.660729,,2026-04-20 18:33:21
BRA,2017,NY.GDP.PCAP.CD,10080.507872,,2026-04-20 18:33:21
BRA,2016,NY.GDP.PCAP.CD,8836.28546,,2026-04-20 18:33:21
BRA,2015,NY.GDP.PCAP.CD,8936.195589,,2026-04-20 18:33:21
BRA,2014,NY.GDP.PCAP.CD,12274.994163,,2026-04-20 18:33:21
VGB,2023,NY.GDP.PCAP.CD,,M,2026-04-20 18:33:21
VGB,2022,NY.GDP.PCAP.CD,,M,2026-04-20 18:33:21
VGB,2021,NY.GDP.PCAP.CD,,M,2026-04-20 18:33:21
VGB,2020,NY.GDP.PCAP.CD,,M,2026-04-20 18:33:21
VGB,2019,NY.GDP.PCAP.CD,,M,2026-04-20 18:33:21
VGB,2018,NY.GDP.PCAP.CD,,M,2026-04-20 18:33:21
VGB,2017,NY.GDP.PCAP.CD,,M,2026-04-20 18:33:21
VGB,2016,NY.GDP.PCAP.CD,,M,2026-04-20 18:33:21
VGB,2015,NY.GDP.PCAP.CD,,M,2026-04-20 18:33:21
VGB,2014,NY.GDP.PCAP.CD,,M,2026-04-20 18:33:21
BRN,2023,NY.GDP.PCAP.CD,32890.549181,,2026-04-20 18:33:21
BRN,2022,NY.GDP.PCAP.CD,36632.928095,,2026-04-20 18:33:21
BRN,2021,NY.GDP.PCAP.CD,31006.963629,,2026-04-20 18:33:21
BRN,2020,NY.GDP.PCAP.CD,26834.359223,,2026-04-20 18:33:21
BRN,2019,NY.GDP.PCAP.CD,30426.573066,,2026-04-20 18:33:21
BRN,2018,NY.GDP.PCAP.CD,30988.119027,,2026-04-20 18:33:21
BRN,2017,NY.GDP.PCAP.CD,28024.382458,,2026-04-20 18:33:21
BRN,2016,NY.GDP.PCAP.CD,26663.297295,,2026-04-20 18:33:21
BRN,2015,NY.GDP.PCAP.CD,30625.128774,,2026-04-20 18:33:21
BRN,2014,NY.GDP.PCAP.CD,41026.508425,,2026-04-20 18:33:21
BGR,2023,NY.GDP.PCAP.CD,15853.208637,,2026-04-20 18:33:21
BGR,2022,NY.GDP.PCAP.CD,13999.194953,,2026-04-20 18:33:21
BGR,2021,NY.GDP.PCAP.CD,12966.145754,,2026-04-20 18:33:21
BGR,2020,NY.GDP.PCAP.CD,10760.211975,,2026-04-20 18:33:21
BGR,2019,NY.GDP.PCAP.CD,10353.720458,,2026-04-20 18:33:21
BGR,2018,NY.GDP.PCAP.CD,9849.383972,,2026-04-20 18:33:21
BGR,2017,NY.GDP.PCAP.CD,8696.689304,,2026-04-20 18:33:21
BGR,2016,NY.GDP.PCAP.CD,7822.499233,,2026-04-20 18:33:21
BGR,2015,NY.GDP.PCAP.CD,7268.654455,,2026-04-20 18:33:21
BGR,2014,NY.GDP.PCAP.CD,8069.600057,,2026-04-20 18:33:21
BFA,2023,NY.GDP.PCAP.CD,873.48259,,2026-04-20 18:33:21
BFA,2022,NY.GDP.PCAP.CD,827.330843,,2026-04-20 18:33:21
BFA,2021,NY.GDP.PCAP.CD,895.535288,,2026-04-20 18:33:21
BFA,2020,NY.GDP.PCAP.CD,825.237039,,2026-04-20 18:33:21
BFA,2019,NY.GDP.PCAP.CD,764.853078,,2026-04-20 18:33:21
BFA,2018,NY.GDP.PCAP.CD,777.465619,,2026-04-20 18:33:21
BFA,2017,NY.GDP.PCAP.CD,709.091536,,2026-04-20 18:33:21
BFA,2016,NY.GDP.PCAP.CD,663.742365,,2026-04-20 18:33:21
BFA,2015,NY.GDP.PCAP.CD,630.124751,,2026-04-20 18:33:21
BFA,2014,NY.GDP.PCAP.CD,764.861675,,2026-04-20 18:33:21
BDI,2023,NY.GDP.PCAP.CD,250.627253,,2026-04-20 18:33:21
BDI,2022,NY.GDP.PCAP.CD,302.992505,,2026-04-20 18:33:21
BDI,2021,NY.GDP.PCAP.CD,264.980379,,2026-04-20 18:33:21
BDI,2020,NY.GDP.PCAP.CD,255.832454,,2026-04-20 18:33:21
BDI,2019,NY.GDP.PCAP.CD,234.310616,,2026-04-20 18:33:21
BDI,2018,NY.GDP.PCAP.CD,245.661678,,2026-04-20 18:33:21
BDI,2017,NY.GDP.PCAP.CD,246.060726,,2026-04-20 18:33:21
BDI,2016,NY.GDP.PCAP.CD,232.937812,,2026-04-20 18:33:21
BDI,2015,NY.GDP.PCAP.CD,254.402585,,2026-04-20 18:33:21
BDI,2014,NY.GDP.PCAP.CD,250.544492,,2026-04-20 18:33:21
CPV,2023,NY.GDP.PCAP.CD,4794.901219,,2026-04-20 18:33:21
CPV,2022,NY.GDP.PCAP.CD,4323.31362,,2026-04-20 18:33:21
CPV,2021,NY.GDP.PCAP.CD,3971.444092,,2026-04-20 18:33:21
CPV,2020,NY.GDP.PCAP.CD,3539.226612,,2026-04-20 18:33:21
CPV,2019,NY.GDP.PCAP.CD,4380.781173,,2026-04-20 18:33:21
CPV,2018,NY.GDP.PCAP.CD,4294.9651,,2026-04-20 18:33:21
CPV,2017,NY.GDP.PCAP.CD,3893.095714,,2026-04-20 18:33:21
CPV,2016,NY.GDP.PCAP.CD,3608.966052,,2026-04-20 18:33:21
CPV,2015,NY.GDP.PCAP.CD,3415.062667,,2026-04-20 18:33:21
CPV,2014,NY.GDP.PCAP.CD,3985.607065,,2026-04-20 18:33:21
KHM,2023,NY.GDP.PCAP.CD,2429.748535,,2026-04-20 18:33:21
